ID,Cab_measure,Cab_predict,LAI_measure,LAI_predict,CCC_measured,CCC_predict,month,Cab_measure,Cab_predict,LAI_measure,LAI_predict,CCC_measured,CCC_predict,month,Cab_measure,Cab_predict,LAI_measure,LAI_predict,CCC_measured,CCC_predict,month
C-28-1,72.45 ,67.64 ,2.40 ,2.35 ,173.88 ,158.60 ,9,75.28 ,73.13 ,2.86 ,3.70 ,215.31 ,270.58 ,8,68.62 ,69.43 ,3.71 ,3.27 ,254.58 ,227.04 ,7
C-28-2,70.45 ,68.01 ,2.60 ,2.76 ,183.17 ,187.71 ,9,65.00 ,70.20 ,2.86 ,4.04 ,185.90 ,283.61 ,8,61.61 ,61.86 ,3.88 ,2.80 ,239.05 ,173.21 ,7
C-39-1,67.79 ,60.37 ,2.45 ,2.53 ,165.74 ,152.43 ,9,75.12 ,76.32 ,2.39 ,2.44 ,179.53 ,186.22 ,8,70.28 ,67.44 ,2.65 ,2.40 ,186.25 ,161.86 ,7
C-39-2,67.12 ,66.77 ,1.90 ,1.98 ,127.53 ,132.21 ,9,66.95 ,73.52 ,3.01 ,3.62 ,201.53 ,266.14 ,8,70.28 ,71.31 ,2.89 ,3.45 ,203.11 ,246.02 ,7
C-37-1,68.95 ,58.24 ,1.64 ,1.74 ,113.08 ,101.33 ,9,72.78 ,70.54 ,3.15 ,2.92 ,229.27 ,205.96 ,8,62.62 ,66.54 ,3.15 ,2.30 ,197.26 ,153.04 ,7
C-37-2,68.62 ,69.11 ,1.46 ,1.49 ,100.18 ,102.63 ,9,72.12 ,75.31 ,2.59 ,1.99 ,186.79 ,149.87 ,8,66.12 ,61.53 ,3.50 ,3.11 ,231.42 ,191.36 ,7
C-26-1,61.12 ,63.93 ,2.13 ,1.90 ,130.19 ,121.47 ,9,77.45 ,73.24 ,3.88 ,3.96 ,300.50 ,290.03 ,8,72.28 ,64.07 ,2.65 ,1.74 ,191.55 ,111.48 ,7
C-26-2,68.79 ,52.21 ,1.96 ,1.92 ,134.48 ,100.24 ,9,77.00 ,73.68 ,3.88 ,3.79 ,298.76 ,279.25 ,8,68.62 ,61.95 ,3.08 ,2.38 ,211.35 ,147.44 ,7
C-24-1,60.46 ,44.08 ,1.91 ,2.04 ,115.47 ,89.70 ,9,79.45 ,73.30 ,2.97 ,3.78 ,235.96 ,277.07 ,8,71.10 ,66.30 ,3.90 ,3.00 ,277.29 ,198.90 ,7
C-24-2,62.62 ,61.14 ,2.65 ,2.40 ,165.95 ,146.73 ,9,78.11 ,74.52 ,2.74 ,2.79 ,214.03 ,207.91 ,8,68.22 ,68.58 ,3.90 ,3.30 ,266.05 ,226.31 ,7
C-35-1,60.79 ,55.78 ,1.83 ,1.82 ,111.24 ,101.52 ,9,78.11 ,75.48 ,2.70 ,2.71 ,210.91 ,204.55 ,8,69.83 ,57.91 ,2.75 ,2.30 ,192.05 ,133.19 ,7
C-35-2,61.29 ,66.04 ,2.48 ,2.36 ,151.69 ,155.86 ,9,69.95 ,73.30 ,3.92 ,3.78 ,274.21 ,277.07 ,8,71.45 ,60.58 ,2.40 ,2.34 ,171.49 ,141.76 ,7
C-33-1,42.79 ,45.85 ,1.91 ,1.72 ,81.51 ,78.86 ,9,68.00 ,70.56 ,2.15 ,2.30 ,146.20 ,162.29 ,8,62.87 ,63.10 ,2.07 ,1.95 ,130.15 ,123.05 ,7
C-33-2,42.46 ,55.96 ,1.73 ,1.16 ,73.24 ,64.92 ,9,74.28 ,74.37 ,2.36 ,2.35 ,175.31 ,174.77 ,8,64.35 ,58.94 ,2.07 ,1.74 ,133.20 ,102.56 ,7
C-22-1,38.00 ,22.67 ,1.77 ,1.61 ,67.07 ,36.38 ,9,70.95 ,73.17 ,2.99 ,2.42 ,212.14 ,177.07 ,8,58.00 ,54.02 ,1.96 ,1.79 ,113.68 ,96.70 ,7
C-22-2,37.80 ,24.75 ,2.48 ,1.60 ,93.74 ,39.61 ,9,70.28 ,73.59 ,3.40 ,3.20 ,238.97 ,235.49 ,8,58.00 ,54.74 ,2.45 ,1.78 ,142.10 ,97.44 ,7
C-20-1,36.97 ,22.21 ,1.62 ,1.25 ,59.71 ,27.77 ,9,59.13 ,65.27 ,2.35 ,2.24 ,138.96 ,146.20 ,8,51.00 ,50.00 ,1.90 ,2.35 ,96.90 ,117.50 ,7
C-20-2,29.14 ,26.45 ,1.37 ,1.21 ,39.92 ,32.01 ,9,60.12 ,64.75 ,3.02 ,3.38 ,181.56 ,218.86 ,8,63.00 ,55.18 ,2.94 ,2.64 ,185.22 ,145.68 ,7
C-31-1,29.47 ,22.12 ,1.51 ,2.05 ,44.50 ,45.23 ,9,60.00 ,54.95 ,3.29 ,3.20 ,197.40 ,175.84 ,8,62.24 ,59.88 ,2.40 ,2.70 ,149.38 ,161.68 ,7
C-31-2,37.00 ,24.94 ,1.90 ,2.55 ,70.12 ,63.46 ,9,68.78 ,71.56 ,3.22 ,2.93 ,221.47 ,209.67 ,8,61.33 ,62.31 ,1.24 ,1.10 ,76.05 ,68.54 ,7
